title,price,region,city,rooms,area_m2,floor,total_floors,year,price_per_m2,floor_ratio,apartment_age,price_category,size_category,district
3-комнатная квартира · 72.9 м² · 5/12 этаж,29500000,"сарайшык р-н, а 108 34",астана,3,72.9,5,12,2023,404663.9231824417,0.4166666666666667,3,mid,large,сарайшык р-н
3-комнатная квартира · 85 м² · 1/10 этаж,48500000,алихан бокейхан 15/1,астана,3,85.0,1,10,2022,570588.2352941176,0.1,4,high,large,unknown
3-комнатная квартира · 69 м² · 5/17 этаж,65000000,"есильский р-н, хусейн бен талал 30",астана,3,69.0,5,17,2025,942028.9855072463,0.29411764705882354,1,luxury,medium,есильский р-н
3-комнатная квартира · 66.3 м² · 10/12 этаж,69500000,"алмалинский р-н, ул. толе би 274",алматы,3,66.3,10,12,2026,1048265.460030166,0.8333333333333334,0,luxury,medium,алмалинский р-н
1-комнатная квартира · 32 м² · 4/5 этаж,13700000,"сарыарка р-н, шакен айманова",астана,1,32.0,4,5,1985,428125.0,0.8,41,budget,small,сарыарка р-н
3-комнатная квартира · 56 м² · 1/4 этаж,51000000,"медеуский р-н, валиханова — конаева-маметова",алматы,3,56.0,1,4,1970,910714.2857142857,0.25,56,high,medium,медеуский р-н
1-комнатная квартира · 33 м² · 12/12 этаж,25000000,"сарыарка р-н, чингиз айтматов 77/2 — айтматова",астана,1,33.0,12,12,2023,757575.7575757576,1.0,3,mid,small,сарыарка р-н
3-комнатная квартира · 71 м² · 5/12 этаж,75000000,"нура р-н, улы дала 25, 27, 29, 29/1 — толе би",астана,3,71.0,5,12,2024,1056338.028169014,0.4166666666666667,2,luxury,large,нура р-н
1-комнатная квартира · 34.11 м² · 2/6 этаж,29900000,"турксибский р-н, мкр кайрат, байге 12б — сзади базара жетысу-семиречье (по воад)",алматы,1,34.11,2,6,2026,876575.7842274993,0.3333333333333333,0,mid,small,турксибский р-н
3-комнатная квартира · 95 м² · 12/17 этаж,39500000,"алматы р-н, кенесары 69а",астана,3,95.0,12,17,2006,415789.4736842105,0.7058823529411765,20,high,large,алматы р-н
3-комнатная квартира · 90.6 м² · 2/9 этаж,73000000,"бостандыкский р-н, гагарина — сатпаева",алматы,3,90.6,2,9,2008,805739.514348786,0.2222222222222222,18,luxury,large,бостандыкский р-н
2-комнатная квартира · 66 м² · 10/10 этаж,31000000,"нура р-н, умай ана 14 — на против универ казгюу",астана,2,66.0,10,10,2019,469696.9696969697,1.0,7,high,medium,нура р-н
2-комнатная квартира · 48 м² · 5/10 этаж,30000000,"алатауский р-н, мкр аккент 97",алматы,2,48.0,5,10,2023,625000.0,0.5,3,mid,medium,алатауский р-н
3-комнатная квартира · 107 м² · 6/12 этаж,55000000,"нура р-н, е 15 — аитматова",астана,3,107.0,6,12,2022,514018.69158878503,0.5,4,high,very_large,нура р-н
2-комнатная квартира · 62.32 м² · 5/5 этаж,28000000,"турксибский р-н, мкр нуршашкан (колхозши), пк декан 335/1",алматы,2,62.32,5,5,2026,449293.96662387677,1.0,0,mid,medium,турксибский р-н
5-комнатная квартира · 121.8 м² · 3/5 этаж,88000000,"бостандыкский р-н, навои",алматы,5,121.8,3,5,1991,722495.894909688,0.6,35,luxury,very_large,бостандыкский р-н
2-комнатная квартира · 60 м² · 2/5 этаж,40000000,"ауэзовский р-н, райымбека — пересечение саина",алматы,2,60.0,2,5,1989,666666.6666666666,0.4,37,high,medium,ауэзовский р-н
3-комнатная квартира · 85 м² · 3/10 этаж,49000000,"наурызбайский р-н, мкр шугыла, жунисова",алматы,3,85.0,3,10,2021,576470.5882352941,0.3,5,high,large,наурызбайский р-н
3-комнатная квартира · 89.6 м² · 9/10 этаж,48000000,"наурызбайский р-н, мкр шугыла, жунисова",алматы,3,89.6,9,10,2020,535714.2857142858,0.9,6,high,large,наурызбайский р-н
2-комнатная квартира · 68 м² · 9/9 этаж,38500000,"жетысуский р-н, мкр кулагер — казыбаева",алматы,2,68.0,9,9,2006,566176.4705882353,1.0,20,high,medium,жетысуский р-н
3-комнатная квартира · 85.7 м² · 4/20 этаж,56999999,"есильский р-н, кабанбай батыра 49 — бухар жырау ботанический сад",астана,3,85.7,4,20,2020,665110.8401400233,0.2,6,high,large,есильский р-н
4-комнатная квартира · 195.7 м² · 1/1 этаж,154603000,"талгарский район, поселок каменное плато, территория park resort «восемь озер»",теренкара,4,195.7,1,1,2021,790000.0,1.0,5,luxury,very_large,unknown
2-комнатная квартира · 43.2 м² · 3/5 этаж,12500000,"алихана бокейханова р-н, майкудук, 12й микрорайон 45",караганда,2,43.2,3,5,1966,289351.85185185185,0.6,60,budget,medium,алихана бокейханова р-н
3-комнатная квартира · 64 м² · 11/14 этаж,89900000,"бостандыкский р-н, розыбакиева 388 — розыбакиева — аль-фараби",алматы,3,64.0,11,14,2021,1404687.5,0.7857142857142857,5,luxury,medium,бостандыкский р-н
3-комнатная квартира · 165 м² · 11/13 этаж,140000000,"алмалинский р-н, шевченко",алматы,3,165.0,11,13,2007,848484.8484848485,0.8461538461538461,19,luxury,very_large,алмалинский р-н
2-комнатная квартира · 38.8 м² · 4/9 этаж,22900000,"наурызбайский р-н, мкр шугыла, сакен жунисов",алматы,2,38.8,4,9,2026,590206.1855670103,0.4444444444444444,0,mid,small,наурызбайский р-н
