id,title,price,region,city,rooms,area_m2,floor,total_floors,year
760568586,3-комнатная квартира · 72.9 м² · 5/12 этаж,29 500 000〒,"Сарайшык р-н, А 108 34",Астана,3,72.9,5.0,12.0,2023.0
693327334,3-комнатная квартира · 85 м² · 1/10 этаж,48 500 000〒,Алихан Бокейхан 15/1,Астана,3,85.0,1.0,10.0,2022.0
1011293513,3-комнатная квартира · 69 м² · 5/17 этаж,65 000 000〒,"Есильский р-н, Хусейн Бен Талал 30",Астана,3,69.0,5.0,17.0,2025.0
1011607647,3-комнатная квартира · 66.3 м² · 10/12 этаж,69 500 000〒,"Алмалинский р-н, ул. Толе би 274",Алматы,3,66.3,10.0,12.0,2026.0
1008968314,1-комнатная квартира · 32 м² · 4/5 этаж,13 700 000〒,"Сарыарка р-н, Шакен Айманова",Астана,1,32.0,4.0,5.0,1985.0
1010811471,3-комнатная квартира · 56 м² · 1/4 этаж,51 000 000〒,"Медеуский р-н, Валиханова — Конаева-маметова",Алматы,3,56.0,1.0,4.0,1970.0
1009461040,1-комнатная квартира · 33 м² · 12/12 этаж,25 000 000〒,"Сарыарка р-н, Чингиз Айтматов 77/2 — Айтматова",Астана,1,33.0,12.0,12.0,2023.0
1009065114,3-комнатная квартира · 71 м² · 5/12 этаж,75 000 000〒,"Нура р-н, Улы Дала 25, 27, 29, 29/1 — Толе Би",Астана,3,71.0,5.0,12.0,2024.0
1005331973,1-комнатная квартира · 34.11 м² · 2/6 этаж,29 900 000〒,"Турксибский р-н, мкр Кайрат, Байге 12Б — Сзади базара Жетысу-Семиречье (по ВОАД)",Алматы,1,34.11,2.0,6.0,2026.0
691277224,3-комнатная квартира · 95 м² · 12/17 этаж,39 500 000〒,"Алматы р-н, Кенесары 69А",Астана,3,95.0,12.0,17.0,2006.0
1011392461,3-комнатная квартира · 90.6 м² · 2/9 этаж,73 000 000〒,"Бостандыкский р-н, Гагарина — Сатпаева",Алматы,3,90.6,2.0,9.0,2008.0
1011147144,2-комнатная квартира · 66 м² · 10/10 этаж,31 000 000〒,"Нура р-н, Умай Ана 14 — На против универ КазГЮУ",Астана,2,66.0,10.0,10.0,2019.0
1008466967,2-комнатная квартира · 48 м² · 5/10 этаж,30 000 000〒,"Алатауский р-н, мкр Аккент 97",Алматы,2,48.0,5.0,10.0,2023.0
1007491442,3-комнатная квартира · 107 м² · 6/12 этаж,55 000 000〒,"Нура р-н, Е 15 — Аитматова",Астана,3,107.0,6.0,12.0,2022.0
1007302656,2-комнатная квартира · 62.32 м² · 5/5 этаж,28 000 000〒,"Турксибский р-н, мкр Нуршашкан (Колхозши), Пк Декан 335/1",Алматы,2,62.32,5.0,5.0,2026.0
